model_name,display_name,model_family,model_type,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,9133.04,458259529,56.060,56.042,56.162,56.351,4.21,0.43,2229.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:28:18
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,15271.64,766269713,33.526,33.461,33.824,34.223,4.21,0.43,1201.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:29:08
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,8769.27,440007140,58.386,58.357,58.503,58.744,4.21,0.43,2390.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:29:41
mobilenetv3_large_100,MobileNetV3-L,MobileNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,15048.07,755051985,34.024,34.062,34.203,34.259,4.21,0.43,1362.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:30:28
vit_small_patch16_224,ViT-S/16,ViT,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,1241.22,62279476,412.497,412.707,413.510,413.910,21.67,8.48,2267.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:31:14
vit_small_patch16_224,ViT-S/16,ViT,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,1270.93,63769970,402.856,402.862,405.506,406.998,21.67,8.48,1491.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:32:03
vit_small_patch16_224,ViT-S/16,ViT,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,4519.73,226781922,113.281,113.244,113.860,114.023,21.67,8.48,1140.6,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:32:39
vit_small_patch16_224,ViT-S/16,ViT,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,4851.98,243452709,105.524,105.486,105.934,106.129,21.67,8.48,753.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:33:21
vit_small_patch16_224,ViT-S/16,ViT,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,4033.84,202401856,126.926,126.910,127.392,127.508,21.67,8.48,1690.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:33:57
vit_small_patch16_224,ViT-S/16,ViT,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,4649.93,233315076,110.109,110.083,110.899,111.048,21.67,8.48,1027.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:34:40
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,352.21,17672578,1453.671,1453.255,1457.162,1458.100,85.82,33.70,4382.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:35:48
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,364.40,18284036,1405.057,1405.242,1407.363,1408.189,85.82,33.70,2831.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:36:59
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1526.88,76612715,335.324,335.229,336.953,337.611,85.82,33.70,2208.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:37:39
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,1650.83,82832134,310.147,310.010,311.410,311.866,85.82,33.70,1432.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:38:27
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1346.17,67545595,380.337,380.468,381.505,382.002,85.82,33.70,3323.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:39:08
deit3_base_patch16_224,DeiT3-B/16,DeiT,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,1612.42,80904970,317.534,317.530,318.650,318.833,85.82,33.70,1906.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:39:57
swin_large_patch4_window7_224,Swin-L,Swin,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,158.51,7953296,3230.122,3231.683,3235.798,3236.521,195.01,68.95,16554.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:41:48
swin_large_patch4_window7_224,Swin-L,Swin,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,177.39,8900524,2886.360,2887.021,2893.528,2894.005,195.01,68.95,12301.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:44:14
swin_large_patch4_window7_224,Swin-L,Swin,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,532.97,26742374,960.652,960.617,964.277,967.062,195.01,68.95,8297.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:45:11
swin_large_patch4_window7_224,Swin-L,Swin,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,682.96,34267991,749.682,749.511,752.001,752.650,195.01,68.95,5680.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:46:50
swin_large_patch4_window7_224,Swin-L,Swin,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,449.24,22541036,1139.704,1139.491,1142.951,1143.718,195.01,68.95,13800.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:47:50
swin_large_patch4_window7_224,Swin-L,Swin,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,667.36,33485431,767.203,767.302,769.123,770.114,195.01,68.95,6827.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:49:30
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,fp32,False,none,Tesla V100-SXM2-32GB,34.1,256,267.02,13397870,958.739,958.573,963.421,964.338,73.67,32.85,22253.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:50:34
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,fp32,True,default,Tesla V100-SXM2-32GB,34.1,256,313.59,15734593,816.358,815.656,820.055,820.473,73.67,32.85,10333.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:52:43
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,670.11,33623399,764.055,763.829,766.870,768.099,73.67,32.85,22107.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:53:34
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,fp16,True,default,Tesla V100-SXM2-32GB,34.1,256,1018.48,51103144,251.355,251.221,252.815,253.296,73.67,32.85,7642.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:54:53
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,673.25,33781160,760.486,760.251,762.737,763.218,73.67,32.85,22406.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:55:44
coatnet_2_224,CoAtNet-2,CoAtNet,hybrid,amp,True,default,Tesla V100-SXM2-32GB,34.1,256,1012.31,50793707,252.887,252.836,253.931,254.194,73.67,32.85,7866.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:57:03
croma_sar,CROMA-SAR,CROMA,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,554.48,7984482,923.391,923.003,928.798,929.258,47.34,20.10,6415.4,False,2,120,2.10.0+cu128,12.8,2026-04-29T06:58:00
croma_sar,CROMA-SAR,CROMA,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,610.39,8789639,838.806,838.541,840.888,841.537,47.34,20.10,4292.6,False,2,120,2.10.0+cu128,12.8,2026-04-29T06:58:56
galileo_large,Galileo-Large/8,Galileo,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,40.31,165103,12702.056,12693.348,12717.339,12719.471,474.70,302.09,15855.5,False,10,64,2.10.0+cu128,12.8,2026-04-29T07:04:11
galileo_large,Galileo-Large/8,Galileo,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,34.71,142155,14752.538,14214.251,15683.584,15814.191,474.70,302.09,23387.7,False,10,64,2.10.0+cu128,12.8,2026-04-29T07:10:54
olmoearth_large,OlmoEarth-Large/8,OlmoEarth,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,24.86,407267,20597.307,20597.278,20603.252,20603.783,307.77,464.26,25633.8,False,12,128,2.10.0+cu128,12.8,2026-04-29T07:18:48
olmoearth_large,OlmoEarth-Large/8,OlmoEarth,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,25.34,415148,20206.326,20206.300,20245.364,20248.837,307.77,464.26,22411.8,False,12,128,2.10.0+cu128,12.8,2026-04-29T07:26:50
resnet50,ResNet-50,ResNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,1277.58,64103798,400.758,400.699,401.702,402.133,23.53,8.17,5755.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:13:46
resnet50,ResNet-50,ResNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,1550.13,77779403,330.295,330.294,331.485,331.972,23.53,8.17,4317.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:14:41
resnet50,ResNet-50,ResNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,2929.99,147015192,174.745,174.735,174.836,174.970,23.53,8.17,2886.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:15:17
resnet50,ResNet-50,ResNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,5176.83,259752529,98.902,98.848,99.502,99.898,23.53,8.17,2064.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:16:01
resnet50,ResNet-50,ResNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,2857.00,143352649,179.209,179.201,179.299,179.424,23.53,8.17,3084.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:16:37
resnet50,ResNet-50,ResNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,5139.82,257895371,99.614,99.619,99.918,100.047,23.53,8.17,2262.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:17:22
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,1104.03,55395968,463.754,463.835,464.208,464.366,17.57,3.00,9638.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:18:08
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,1606.50,80607528,318.706,318.810,319.481,319.829,17.57,3.00,5014.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:19:32
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,2091.16,104926070,244.840,244.833,244.939,244.987,17.57,3.00,4824.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:20:13
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,3297.96,165478225,155.248,155.254,155.493,155.748,17.57,3.00,3899.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:21:18
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1955.30,98109063,261.853,261.772,262.292,262.415,17.57,3.00,5014.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:21:55
efficientnet_b4,EfficientNet-B4,EfficientNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,3276.11,164382315,156.283,156.194,156.871,157.331,17.57,3.00,4089.6,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:22:57
convnext_base,ConvNeXt-B,ConvNeXt,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,351.18,17621055,1457.921,1457.825,1460.012,1460.319,87.58,30.71,9711.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:24:08
convnext_base,ConvNeXt-B,ConvNeXt,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,356.97,17911525,1434.278,1434.537,1437.961,1438.026,87.58,30.71,5600.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:25:13
convnext_base,ConvNeXt-B,ConvNeXt,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1324.38,66452303,386.595,386.556,388.584,389.035,87.58,30.71,4861.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:26:00
convnext_base,ConvNeXt-B,ConvNeXt,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,1555.08,78027463,329.244,329.226,331.070,331.670,87.58,30.71,2806.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:26:58
convnext_base,ConvNeXt-B,ConvNeXt,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1072.67,53822084,477.315,477.058,478.585,484.292,87.58,30.71,6423.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:27:42
convnext_base,ConvNeXt-B,ConvNeXt,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,1493.02,74913843,342.929,342.842,344.260,344.881,87.58,30.71,4367.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:28:40
regnety_004,RegNetY-400MF,RegNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,4361.39,218837054,117.394,117.393,117.586,117.653,3.91,0.80,3622.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:29:18
regnety_004,RegNetY-400MF,RegNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,4405.12,221031502,116.228,116.019,117.278,118.686,3.91,0.80,2698.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:30:08
regnety_004,RegNetY-400MF,RegNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,7692.08,385957910,66.562,66.558,66.648,66.732,3.91,0.80,2126.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:30:41
regnety_004,RegNetY-400MF,RegNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,15152.64,760298721,33.789,33.725,34.116,34.526,3.91,0.80,1355.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:31:27
regnety_004,RegNetY-400MF,RegNet,cnn,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,7635.70,383128842,67.053,67.034,67.157,67.295,3.91,0.80,2288.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:32:01
regnety_004,RegNetY-400MF,RegNet,cnn,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,14724.35,738808760,34.772,34.669,35.244,35.324,3.91,0.80,1524.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:32:48
vit_base_patch16_224,ViT-B/16,ViT,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,343.64,17242327,1489.945,1442.817,1444.500,2235.506,85.81,33.70,4381.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:33:57
vit_base_patch16_224,ViT-B/16,ViT,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,361.47,18137311,1416.423,1415.954,1421.151,1422.386,85.81,33.70,2831.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:35:10
vit_base_patch16_224,ViT-B/16,ViT,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1579.99,79277800,324.052,323.963,325.492,325.715,85.81,33.70,2211.9,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:35:50
vit_base_patch16_224,ViT-B/16,ViT,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,1652.11,82896062,309.908,309.766,311.261,312.290,85.81,33.70,1435.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:36:38
vit_base_patch16_224,ViT-B/16,ViT,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1432.95,71899513,357.306,357.280,358.246,358.948,85.81,33.70,3322.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:37:19
vit_base_patch16_224,ViT-B/16,ViT,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,1607.77,80671459,318.454,318.549,319.445,319.599,85.81,33.70,1906.0,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:38:08
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,813.67,40826574,629.250,629.315,631.310,631.582,27.53,8.98,8156.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:38:58
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,1065.78,53476472,480.400,480.254,482.092,482.627,27.53,8.98,6030.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:40:13
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,2125.38,106643055,240.898,240.863,241.621,242.170,27.53,8.98,4087.1,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:40:52
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,3009.64,151011661,170.120,170.050,171.178,171.380,27.53,8.98,2778.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:42:00
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1714.36,86019543,298.654,298.462,299.323,299.392,27.53,8.98,6779.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:42:40
swin_tiny_patch4_window7_224,Swin-T,Swin,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,2917.82,146404691,175.473,175.454,176.331,176.834,27.53,8.98,3293.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:43:49
beit_base_patch16_224,BEiT-B/16,BEiT,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,347.54,17438372,1473.194,1472.468,1477.296,1478.316,85.77,35.13,4074.7,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:45:00
beit_base_patch16_224,BEiT-B/16,BEiT,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,362.76,18201897,1411.398,1411.655,1414.148,1415.124,85.77,35.13,2836.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:46:14
beit_base_patch16_224,BEiT-B/16,BEiT,vit,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1495.53,75039687,342.354,342.228,344.077,344.673,85.77,35.13,2058.8,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:46:56
beit_base_patch16_224,BEiT-B/16,BEiT,vit,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,1615.28,81048246,316.973,316.775,319.012,320.035,85.77,35.13,1438.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:47:46
beit_base_patch16_224,BEiT-B/16,BEiT,vit,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1335.60,67015063,383.348,383.236,384.561,384.820,85.77,35.13,3015.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:48:29
beit_base_patch16_224,BEiT-B/16,BEiT,vit,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,1577.55,79155386,324.553,324.700,325.962,327.987,85.77,35.13,1910.6,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:49:20
dofa_base,DOFA-B/16,DOFA,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,356.63,17894244,1435.663,1435.945,1437.821,1438.013,111.35,34.00,4175.3,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:50:27
dofa_base,DOFA-B/16,DOFA,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,367.02,18415373,1395.036,1394.324,1398.803,1400.822,111.35,34.00,3865.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:51:39
senpamae,SenPaMAE-B/16,SenPaMAE,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,295.33,6124057,1733.627,1734.486,1738.471,1738.617,95.02,41.43,5487.0,False,3,144,2.10.0+cu128,12.8,2026-04-29T06:52:53
senpamae,SenPaMAE-B/16,SenPaMAE,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,303.89,6301508,1684.808,1685.273,1688.534,1688.737,95.02,41.43,4723.6,False,3,144,2.10.0+cu128,12.8,2026-04-29T06:54:08
olmoearth_nano,OlmoEarth-Nano/8,OlmoEarth,vit,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,1909.63,31287328,268.115,268.084,268.376,268.530,1.36,1.26,3268.0,False,12,128,2.10.0+cu128,12.8,2026-04-29T06:54:50
olmoearth_nano,OlmoEarth-Nano/8,OlmoEarth,vit,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,2092.70,34286737,244.660,244.532,245.437,246.397,1.36,1.26,3091.5,False,12,128,2.10.0+cu128,12.8,2026-04-29T06:55:37
resnet101,ResNet-101,ResNet,cnn,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,779.56,39115131,656.782,657.039,658.081,658.364,42.52,15.60,5832.2,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:13:53
resnet101,ResNet-101,ResNet,cnn,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,934.61,46895075,547.821,547.688,549.192,550.159,42.52,15.60,4393.5,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:14:51
resnet101,ResNet-101,ResNet,cnn,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1832.42,91943362,279.412,279.396,279.509,279.718,42.52,15.60,2922.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:15:29
resnet101,ResNet-101,ResNet,cnn,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,3133.30,157216270,163.406,163.375,163.908,164.208,42.52,15.60,2100.4,False,3,224,2.10.0+cu128,12.8,2026-04-29T06:16:17
